4/16 20:07:13.180  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,157644,"Enhanced Pyrotechnics",0x1,BUFF
4/16 20:07:13.180  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:14.211  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48108,"Hot Streak!",0x1,BUFF
4/16 20:07:14.553  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:17.756  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:18.501  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48108,"Hot Streak!",0x1,BUFF
4/16 20:07:20.782  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Creature-0-3061-1513-29975-103397-00006EE850,"Greater Bulwark Construct",0x10a28,0x0,194522,"Blast Furnace",0x4,DEBUFF
4/16 20:07:20.834  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:20.834  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:22.834  SPELL_AURA_REMOVED,Player-1596-09735A69,"Tundulum-TheMaelstrom",0x518,0x0,Player-1596-09735A69,"Tundulum-TheMaelstrom",0x518,0x0,80354,"Temporal Displacement",0x1,DEBUFF
